,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
VAG_0076,0.6998,-0.78909,-0.38414,-0.27663,1.97215,0.00571,0.50472,-1.09492,1.71114,0.89608,1.23491,0.18118,0.86752,0.34972,0.13061,-0.01249,-1.49894,0.6274,-2.16101,-0.71966,-0.62372,-0.97367,0.41309,-0.18477,-0.60231,0.41576,-0.39541,1.18808,0.58937,-0.61194,-1.68621,-1.30968
VAG_0077,0.78864,-0.13342,-1.19815,-0.73245,1.75154,0.12202,-0.38094,-1.97595,1.54182,0.63066,0.93211,0.07719,0.91867,0.39093,0.51137,-0.54151,-1.03348,1.05063,-2.36816,-0.3326,0.04492,-0.89386,0.46,-0.33815,-0.54823,0.43738,-0.34814,1.6456,0.36194,-1.00805,-1.57162,-1.25525
VAG_0078,0.21677,-0.33953,-0.3448,-0.38617,2.20831,-0.47421,0.02134,-1.35439,1.3382,0.50523,0.74089,0.20475,0.81921,0.35488,1.30093,-0.10286,-1.27246,0.87237,-2.09673,-0.00582,0.32169,-1.16907,0.17895,0.06319,-0.25217,0.6127,-0.83947,1.4791,0.18568,0.17555,-2.10585,-0.99411
VAG_0079,0.29241,0.08342,-0.89106,-0.35666,1.66047,0.13004,0.20855,-2.11954,1.86008,0.95575,0.36495,-0.38234,1.18988,0.71997,0.99969,-0.10348,-1.06321,0.87104,-1.9014,-0.62736,-0.42702,-0.93084,1.00116,-0.0559,-0.38267,0.29084,-0.54054,1.26204,0.7232,-0.85784,-2.06993,-1.23089
VAG_0080,0.47788,-0.43513,-0.74176,-0.27063,1.37952,0.02639,0.25174,-1.76482,1.47443,0.66598,0.90383,-0.40466,0.91621,0.30541,0.57567,-0.29164,-1.8156,0.99287,-1.85772,-0.41087,-0.07437,-1.3405,0.85605,-0.00228,-1.06691,0.43846,-0.24415,1.0484,0.40642,-0.35206,-1.93893,-1.20014
VAG_0081,0.47063,-0.38507,-0.47693,-0.34919,1.5446,0.12937,0.29245,-1.28489,1.65539,1.01897,1.27723,-0.0932,1.13183,0.58589,1.01926,-0.04903,-1.46757,0.64459,-2.30902,-0.18418,-0.44727,-1.45913,0.28628,0.05094,-0.69512,0.45154,-0.27937,1.46791,0.47061,-0.62497,-1.80452,-1.5482
VAG_0082,0.32483,0.11614,-0.63442,-0.13767,1.60569,-0.191,-0.11524,-1.51437,1.56222,1.02645,0.99047,-0.16447,0.71575,0.64577,0.15927,0.14004,-1.80355,1.30165,-2.47089,-0.11783,-0.19927,-0.88583,0.64812,-0.00802,-0.66572,0.8718,-0.83949,2.01663,0.16055,-0.47373,-2.16893,-1.33677
VAG_0083,0.5519,-0.21669,-0.24839,-0.2019,1.96059,0.01282,-0.09596,-1.1044,1.97684,1.15206,0.73001,0.05553,0.75294,0.39191,0.53017,-0.25091,-1.41716,1.11418,-1.79135,0.06481,0.49114,-1.08553,1.02306,-0.34467,-0.72965,0.51311,-0.29955,1.23197,0.08742,-0.32983,-1.88906,-1.60494
VAG_0084,0.56453,-0.20992,-0.44269,-0.1468,2.02255,0.12249,0.39985,-1.60994,1.5723,0.6151,0.92892,-0.05226,0.64903,0.50986,0.47983,0.26811,-1.37148,1.0078,-1.89101,-0.36615,0.14677,-0.66539,0.8496,-0.06344,-0.55867,0.19135,-0.59394,1.92463,0.15341,-0.53644,-1.84843,-0.97176
VAG_0085,0.93419,-0.19373,-0.72485,-0.5768,1.56988,0.12664,0.61219,-1.19125,1.56571,1.01858,0.4113,-0.21455,1.30732,0.75157,0.44182,-0.04549,-0.83914,1.10657,-1.8645,0.00078,-0.41284,-1.54216,0.14808,-0.16038,-0.7342,0.26269,-0.21298,1.30397,0.20745,-0.28495,-1.66844,-1.6736
VAG_0086,0.5629,-0.23558,-0.51968,-0.12842,1.59587,-0.31893,0.04245,-1.59006,1.47928,1.0487,1.01966,0.22014,1.08996,0.59794,0.68719,-0.20215,-1.78903,1.21616,-1.87377,-0.32416,-0.59634,-1.12633,0.61148,-0.32321,-0.33693,0.32322,-0.5561,1.28126,0.5533,-0.32255,-2.29413,-1.60452
VAG_0087,0.40193,-0.30474,-0.10909,-0.79442,1.64585,-0.17392,0.01684,-1.72467,1.44695,1.00197,0.9683,0.00655,1.05632,0.42222,0.8416,-0.16053,-2.0271,1.30851,-2.33445,-0.69544,0.03347,-1.19359,0.67544,0.01479,-0.1807,0.19536,-0.09874,1.48681,-0.02869,-0.5425,-2.41339,-1.39604
VAG_0088,0.24858,-0.52166,-0.37158,-0.15131,1.65445,0.08704,0.01874,-1.59542,1.76368,0.81297,1.26009,0.12808,1.21531,0.0904,0.26505,-0.11699,-1.93892,1.33771,-1.92029,-0.41361,-0.01725,-1.36491,0.76051,0.07388,-0.35849,0.54576,-0.29068,1.29919,0.25556,-0.20122,-1.70295,-1.21372
VAG_0089,0.65753,-0.81957,-0.68524,-0.0264,1.53984,-0.14886,0.39597,-1.59668,2.16736,0.76988,1.45214,-0.237,0.84515,0.35911,0.57752,-0.17094,-1.54043,0.84788,-2.09858,-0.41739,-0.20321,-1.16313,0.34276,-0.13045,-0.07036,0.66424,-0.77771,1.13754,0.32749,-0.38823,-1.67081,-1.05448
VAG_0090,0.71655,-0.29386,-0.58571,-0.32765,1.77512,-0.23479,-0.04488,-1.08549,1.87424,0.60034,1.12214,-0.04332,1.04413,0.0647,0.86278,-0.05118,-1.64215,1.02763,-1.81968,-0.52806,0.01175,-1.13348,0.48063,-0.53948,-0.09641,0.45289,-0.56824,1.46961,0.38159,-0.222,-2.29085,-1.24052
VAG_0091,0.40826,-0.28011,-0.797,-0.24581,1.98737,0.14353,0.2561,-0.98374,1.60744,1.25582,1.12422,-0.06108,1.32632,0.56103,0.84862,-0.34477,-1.75601,0.78287,-2.19138,-0.39787,-0.11945,-0.57495,1.01617,0.10191,-0.45835,0.50644,-0.40472,1.69785,-0.1584,-0.40108,-1.8442,-1.18563
VAG_0092,0.57217,0.04775,-0.83311,-0.32773,1.56023,0.34266,-0.11508,-1.35447,1.15048,0.86997,1.44921,0.36562,0.61749,0.81465,0.53196,-0.23203,-1.38765,0.49937,-1.92455,-0.17925,0.00285,-1.21629,0.48947,-0.56417,-0.42123,0.77548,-0.13432,1.56488,0.5498,-0.37745,-1.87662,-1.12238
VAG_0093,0.26391,0.25418,-0.26734,0.10146,1.89585,0.11279,-0.00846,-1.64576,1.43082,1.25397,1.31928,-0.01025,0.87247,0.56329,0.47691,-0.35522,-1.46603,1.39747,-1.8271,0.12395,-0.31564,-0.79981,0.64474,-0.14709,-0.52967,1.05607,-0.84711,1.39942,-0.00857,-0.58814,-1.68914,-1.41667
VAG_0094,0.74445,-0.16511,-0.20852,-0.40749,2.08785,0.04887,-0.0605,-1.57227,2.01876,1.11907,0.94484,-0.36453,0.98085,0.61851,0.37777,0.37682,-0.77557,1.16972,-2.17467,-0.3288,-0.5938,-1.10155,0.57146,-0.52211,-0.97843,0.38082,-0.62977,1.60019,0.26017,-0.34371,-2.35945,-1.27212
VAG_0095,0.52827,-0.44151,-0.40952,-0.16035,1.50088,-0.16447,0.04895,-1.48131,1.55922,0.87935,1.03592,-0.0615,0.97428,-0.1019,0.34506,-0.07993,-1.69696,0.68813,-1.88156,-0.15058,-0.20851,-1.28965,0.06763,-0.25834,-0.24461,0.56015,-0.43771,1.82163,0.1506,-0.55757,-1.96737,-1.35172
VAG_0096,0.92792,-0.36887,-0.86049,-0.26652,2.08856,-0.06478,0.00808,-1.38666,1.0412,0.89297,0.77472,-0.01747,0.63666,0.34801,0.30582,0.13086,-1.69997,1.3381,-1.80991,-0.74205,-0.45057,-0.58955,0.68464,-0.38538,-0.36376,0.33795,-0.88534,1.34351,0.93179,-0.62619,-2.09791,-1.73357
VAG_0097,0.45453,-0.42383,-0.35419,-0.38885,2.12024,-0.13613,-0.01824,-1.59906,1.57278,0.71446,0.58918,-0.40101,1.45361,0.3651,0.78991,-0.31887,-1.57558,1.5066,-1.86583,0.01306,-0.18486,-0.7582,0.90656,-0.08041,-0.81068,0.79479,-0.67531,1.129,0.43063,0.01841,-2.17873,-1.84452
VAG_0098,0.33269,-0.78638,-0.63664,0.16617,2.15655,0.40775,0.01413,-1.74389,1.9404,0.8622,0.82968,0.61158,0.91075,0.06412,0.91899,-0.26351,-1.30229,0.98654,-1.91644,-0.32798,0.12836,-0.92375,0.59396,0.22983,-0.03199,0.23549,-0.8126,1.45527,0.24686,-0.61502,-2.1794,-0.91867
VAG_0099,0.43484,-0.23115,-0.5303,-0.19678,1.43453,-0.30668,-0.01213,-1.50902,1.94941,0.89505,1.02374,0.32347,0.97741,0.37583,0.36069,0.15757,-1.76795,0.98353,-2.00718,-0.68426,-0.21151,-1.22119,0.74524,-0.26849,-0.28422,0.67439,-0.60178,1.46833,0.13217,-0.38812,-1.81369,-1.0932
VAG_0100,0.44253,-0.02956,-0.69124,-0.41949,1.94399,-0.08382,0.26412,-1.22164,1.7198,0.52462,0.72321,-0.31827,0.95644,0.52442,0.98691,-0.27065,-1.65132,1.24251,-1.7249,-0.56789,-0.15416,-1.02865,0.30084,-0.08253,-0.43045,0.291,-0.46967,1.23191,0.82533,-0.49952,-2.59751,-0.94322
VAG_0101,0.58124,-0.25589,-0.02487,-0.26139,1.5758,-0.03196,0.0389,-1.25171,1.5842,0.71397,1.0975,-0.56839,1.57179,0.37968,0.45263,-0.24779,-1.34752,0.85337,-1.648,-0.18608,0.09787,-1.09123,1.17669,-0.2541,-0.71153,0.5042,-0.6528,1.2763,0.46121,-0.36427,-2.24065,-1.42711
VAG_0102,0.47902,-0.1606,-0.34898,0.07574,2.0208,-0.12356,-0.17147,-1.60579,1.97303,0.79483,1.09155,0.25607,0.9591,0.47723,0.63259,-0.24248,-1.70539,0.73933,-1.96353,-0.41153,-0.64068,-0.78918,0.47574,-0.15112,-0.79966,0.51543,-0.2781,1.04923,0.03783,-0.57882,-1.5968,-1.18273
VAG_0103,0.45613,-0.42625,-0.63506,-0.37775,1.77167,-0.19598,0.12842,-1.53823,1.60366,1.21355,1.08509,0.17334,0.80537,0.10039,0.00492,-0.28126,-1.49658,1.15522,-1.89774,-0.42272,-0.33146,-0.91483,0.75524,-0.64522,-1.08508,0.47808,-0.22964,1.70566,0.29189,-0.4032,-2.42105,-0.61604
VAG_0104,0.62672,0.10549,-0.48955,-0.38513,2.0374,-0.40365,0.53385,-1.78791,2.04714,1.31656,1.27947,-0.05972,0.82702,0.02484,0.59078,-0.024,-1.55161,1.07444,-1.8993,-0.43552,-1.07996,-0.71877,0.55842,-0.42272,-0.43237,0.58414,-0.37536,1.63478,0.71755,-0.45257,-2.10103,-1.54575
VAG_0105,0.50635,-0.50477,-0.30328,0.06326,2.04981,0.11021,0.28006,-1.4763,1.81989,0.78079,1.11229,0.12321,0.67503,0.26438,0.35159,-0.11041,-1.57623,0.89306,-2.06217,0.04346,-0.00738,-1.18465,0.53858,-0.00564,-0.15829,0.25823,-0.73553,1.01505,0.65523,-0.32116,-2.14124,-1.29622
VAG_0106,0.63352,-0.44323,-0.2803,-0.7645,1.84291,0.02154,-0.25207,-1.3324,1.7101,0.64919,1.07289,0.325,0.81283,0.38263,0.31871,-0.34492,-2.01586,0.93546,-1.70902,-0.34912,-0.19367,-0.96427,0.60271,-0.57294,-0.2444,0.37778,-0.48425,1.44488,0.70303,-0.7473,-2.21212,-1.5227
VAG_0107,0.86447,-0.14328,-0.58213,-0.17115,2.07465,0.56104,-0.05517,-1.62747,1.70813,0.8428,0.84611,0.05836,0.68493,0.40695,0.57191,0.03963,-1.35302,1.51703,-1.7082,-0.47049,-0.17218,-0.98928,0.68268,-0.32353,-0.67436,0.76053,-0.84933,1.13458,0.38457,-0.93691,-2.02177,-1.36033
VAG_0108,0.72909,-0.30401,-0.54229,-0.13657,1.58638,-0.05513,-0.34241,-1.2202,1.75808,0.8169,1.37234,-0.01562,1.07063,1.04938,0.69582,-0.24621,-1.01442,1.01056,-1.87957,0.47404,-0.61375,-1.46873,0.78729,-0.05094,-0.91836,0.23534,-0.12388,1.34627,0.60682,-0.31023,-2.15608,-1.2346
VAG_0109,0.78321,-0.28595,-0.60718,0.11484,1.8187,-0.19056,0.13796,-1.37499,1.82785,0.93367,1.08102,-0.43839,1.10796,0.03305,0.68941,-0.44159,-1.53511,0.88795,-1.89438,-0.04692,-0.16776,-1.18027,0.48438,-0.09584,-0.40484,0.69795,-0.48289,1.46025,0.22654,-0.66726,-1.6588,-1.70054
VAG_0110,0.71833,-0.21298,-0.59719,-0.49812,1.83476,-0.35094,0.12671,-1.72862,1.92888,0.74658,1.03453,0.34697,0.78628,0.71566,0.49282,-0.19056,-1.50261,1.1419,-2.03388,-0.6157,-0.42693,-0.60888,0.39989,-0.51285,-0.1641,0.34575,-0.44836,1.34672,0.29991,-0.50367,-2.10215,-1.19672
VAG_0111,0.09044,-0.26482,-0.48736,-0.25077,1.53806,0.06808,0.1773,-1.86428,1.57566,0.88911,0.96327,0.13116,1.08808,0.43508,0.37868,-0.00442,-1.75277,1.46917,-1.83416,-0.20766,-0.26794,-0.90547,0.47026,-0.28177,-0.8999,0.56069,-0.53227,1.83463,0.04834,-0.40482,-1.68583,-1.41777
VAG_0112,0.95282,0.05156,-0.65467,-0.12588,1.54316,0.07753,0.02602,-1.47757,1.74638,1.51279,0.71186,0.09474,0.99252,0.1969,0.74237,0.00919,-1.6318,0.96179,-2.28343,-0.15377,-0.68951,-1.30769,0.6297,-0.25781,-0.90236,0.79123,-0.35168,1.67139,0.27836,-0.07729,-2.20004,-1.61492
VAG_0113,0.36327,0.22819,-0.40053,-0.02501,1.69421,-0.15631,0.2547,-1.35813,1.99075,0.77036,1.35608,-0.02454,0.51922,0.1626,0.41032,-0.16035,-1.61294,1.80357,-1.89752,-0.11787,-0.05738,-1.195,1.20616,-0.19131,-0.25229,0.92393,-0.41161,1.31978,0.47856,-0.35666,-2.13389,-1.54213
VAG_0114,0.47527,-0.21727,-0.23706,-0.20668,2.25018,0.14934,0.37217,-1.12134,0.97702,1.10041,1.13282,-0.2693,1.21603,0.15803,0.74379,-0.39294,-1.63327,0.77586,-2.065,-0.34031,-0.42153,-1.12639,0.50651,-0.30451,-0.48586,0.37921,-0.62095,1.44304,0.32464,-0.52293,-1.72895,-1.1303
VAG_0115,0.50718,-0.23575,-0.9018,-0.31616,1.69117,0.01078,0.22171,-1.91327,1.16356,0.53661,1.2572,-0.21783,1.27357,0.77279,0.9109,0.02441,-1.49631,0.43278,-2.31044,0.73562,-0.23235,-1.17894,0.3314,-0.41162,-0.69313,1.04772,-0.20089,1.35451,0.61244,-0.62008,-2.05506,-1.28144
VAG_0116,0.52891,-0.5068,-0.54622,0.041,1.41483,0.03053,-0.17136,-0.74001,1.8238,1.00035,1.2931,0.19257,0.70698,0.64064,0.66884,0.10678,-1.6586,1.32509,-1.79946,-0.78397,-0.25964,-1.38,0.4128,-0.26051,-0.14087,0.21555,-0.32461,1.47758,0.38395,-0.07372,-2.01481,-1.7713
VAG_0117,0.67595,-0.65967,-0.40139,-0.64895,1.35357,0.18819,-0.01952,-1.41781,1.88405,0.70818,1.16709,-0.00579,1.0291,0.00566,0.31827,-0.49253,-1.24657,1.10983,-2.02903,-0.68331,-0.16227,-1.14958,0.58596,-0.64098,-0.84044,0.65037,-0.52848,1.35928,0.51696,-0.6298,-2.24121,-1.24456
VAG_0118,0.48529,-0.54908,-0.52998,-0.06165,1.84176,-0.17959,-0.45423,-1.38167,1.40817,0.92714,1.28263,0.25727,1.46409,0.6474,0.79615,-0.19941,-1.44481,0.88634,-2.39775,-0.83545,-0.45128,-0.74165,0.7997,-0.13559,-0.15055,0.58682,-0.76446,1.8164,0.37996,-0.40376,-1.79077,-1.28749
VAG_0119,0.23444,-0.63578,-0.37681,-0.24152,2.27135,0.25357,0.37113,-1.40234,1.5797,1.18669,0.9963,0.21236,0.96554,0.10243,0.1329,0.19529,-1.86455,0.6541,-1.54135,-0.40438,-0.04757,-0.60094,0.56389,-0.19635,-0.07863,0.21552,-0.98652,1.15151,0.9662,-0.38029,-2.21253,-0.99977
VAG_0120,0.17055,-0.17361,-0.79513,-0.43266,2.2267,0.08309,0.83515,-1.90226,1.27587,0.77266,1.01894,0.10324,0.55274,0.18395,0.64358,-0.16468,-1.79547,0.91161,-2.05245,-0.04212,0.00834,-0.96357,0.0921,-0.50226,-0.6135,0.62243,-0.58113,1.37465,0.09344,-0.51784,-1.77232,-1.52599
VAG_0121,0.5342,-0.35842,-0.13252,0.28238,1.89184,-0.15092,0.06756,-1.62107,2.06617,0.83317,1.03649,-0.0857,0.87324,0.18981,0.19035,0.05965,-1.57817,0.93886,-2.09454,-0.04322,-0.36016,-1.06029,0.85439,-0.33244,-0.3985,0.31296,-0.32591,1.67679,0.32986,-0.48038,-2.27706,-1.29526
VAG_0122,0.10812,0.08527,-0.30525,-0.03076,2.01071,0.04156,0.52789,-1.33179,1.34741,0.88233,1.38941,-0.16842,0.95902,0.18687,0.623,-0.41974,-1.42185,1.11355,-2.10659,-0.25843,-0.16685,-0.55824,0.3356,-0.42101,0.02829,0.61603,-0.44459,1.59748,0.44847,-0.26305,-1.54026,-1.59647
VAG_0123,0.78059,-0.1847,-0.49666,-0.47085,2.07208,-0.1976,0.16038,-1.37207,1.66854,0.8624,1.34774,-0.29314,0.94066,0.22913,0.71773,-0.36328,-1.15647,1.22759,-1.73516,-0.60956,-0.12393,-1.13135,0.28132,0.22344,-0.38448,-0.0567,-0.38318,1.61804,0.15763,-0.45737,-1.81886,-1.34069
VAG_0124,0.38719,-0.19338,-0.49372,-0.34012,1.90946,-0.08154,0.16532,-1.23353,1.74019,0.75236,0.97085,0.07869,1.00182,0.26427,0.79815,-0.44825,-1.24362,0.89603,-2.32864,-0.41415,-0.57775,-1.25903,0.98564,-0.09278,-0.39947,0.38761,-0.27485,1.16025,0.25612,-0.35606,-2.30983,-1.21849
VAG_0125,0.629,-0.06904,-0.77634,-0.19733,1.59839,-0.06931,0.14622,-1.19852,1.69243,0.77297,1.09509,0.09691,0.53838,0.12553,0.87841,-0.27789,-1.54285,0.81869,-1.26978,-0.46368,-0.5668,-0.94233,0.62003,-0.45709,-0.45205,0.66504,-0.19118,1.59211,0.2225,-0.5995,-1.48063,-1.58387
VAG_0126,0.45055,-0.29349,-0.78363,-0.46718,1.57425,-0.04764,0.23243,-1.29692,1.58516,0.63331,1.03298,0.28508,1.10307,-0.29861,0.48757,-0.21641,-1.04904,0.64436,-1.95071,0.15315,-0.48793,-1.03787,0.54048,-0.35351,-0.3311,0.38733,-0.02918,1.88401,0.5539,-0.33351,-1.97236,-1.64979
VAG_0127,0.76461,-0.27625,-0.58312,-0.08372,1.82921,-0.08242,0.24024,-1.28115,1.66176,1.21695,1.30182,0.10788,1.11953,-0.01797,0.73935,0.40537,-1.64179,0.91547,-1.52905,-0.31041,-0.38762,-1.0338,0.76152,-0.45992,-0.43912,0.44446,-0.33415,1.63259,0.33143,-0.39737,-1.70463,-1.27153
VAG_0128,0.24219,-0.31732,-0.69757,0.05424,1.76867,0.16656,0.43564,-1.72954,1.4294,1.21391,0.89849,0.02694,0.64051,0.59249,0.27648,-0.78653,-1.28473,0.79476,-1.46983,-0.16617,-0.27882,-1.44796,0.67661,-0.47073,-0.4518,0.15417,-0.19608,1.01087,0.17536,-0.50707,-2.34568,-1.3511
VAG_0129,0.73801,-0.50514,-0.81072,-0.3949,1.81577,0.10937,-0.19095,-1.41204,1.67636,0.75548,0.90782,0.16915,0.60459,0.44591,0.93673,-0.13861,-1.58376,1.56859,-1.75315,-0.20283,-0.14643,-1.0173,0.73179,-0.25582,-0.2346,0.44026,0.17801,1.21822,0.16725,-0.47191,-2.37325,-1.57579
VAG_0130,1.01272,-0.42589,-0.8079,-0.24163,1.71683,-0.18504,0.40883,-1.58248,1.72894,0.89276,1.22022,0.55917,0.84963,0.35061,0.54337,-0.07868,-1.93029,0.80003,-2.48992,-0.03705,-0.21842,-1.16807,0.84999,-0.24066,-0.12893,0.27795,-0.80225,1.24499,0.41386,-0.66877,-1.93599,-1.03011
VAG_0131,0.57857,0.11518,-0.47067,-0.90739,1.74898,-0.67404,-0.14818,-1.48824,1.76191,1.11833,1.47136,0.06301,0.57477,0.67691,0.64733,-0.2889,-1.38688,1.27562,-1.88226,-0.62588,-0.23036,-0.64114,0.94171,0.1136,-0.40892,-0.60369,-0.39898,1.30612,0.5495,-0.35287,-1.83685,-1.2879
VAG_0132,0.27486,-0.80605,-0.79092,-0.14455,1.89533,0.01282,0.14577,-1.13221,1.93088,0.34024,0.81759,0.13441,1.17457,0.47795,0.57962,-0.12472,-1.46521,0.87791,-2.16327,-0.20004,0.4774,-1.04369,0.61806,0.38499,-0.13992,0.16595,-0.4587,0.97427,0.30995,-0.57079,-2.20679,-0.87646
VAG_0133,0.27213,-0.32215,-0.81917,-0.32583,1.98322,-0.024,0.08471,-1.29765,1.22059,1.01929,1.02564,0.09088,0.45311,0.06203,0.58402,0.49539,-1.84834,0.90745,-1.11887,-0.18847,0.04753,-1.09897,1.05794,-0.08284,-0.31838,0.81373,-0.60245,1.35889,0.07462,-0.12925,-2.5287,-1.35402
VAG_0134,0.6515,-0.13781,-0.30134,-0.63739,1.47862,0.15758,-0.00902,-1.36656,1.62705,1.37491,0.90175,0.31891,0.72023,0.49124,0.84704,-0.14701,-1.70269,0.84382,-1.99916,-0.54711,-0.20262,-1.03095,0.51651,0.0487,-0.79736,0.47241,-0.37416,0.95892,0.67372,-0.81766,-1.8063,-1.42754
VAG_0135,-0.00078,-0.26957,-0.15092,-1.03259,1.65079,0.28388,-0.04916,-1.51059,1.65824,0.88841,1.42453,0.36039,1.4401,0.25566,0.41771,-0.29304,-1.60361,1.63505,-1.81294,-0.36812,-0.58086,-0.88238,0.26714,0.09977,-0.54214,0.80621,-0.45696,1.52846,0.77374,-0.54319,-2.00736,-1.35991
VAG_0136,0.47596,-0.58878,-0.88618,-0.34472,2.05636,0.32012,0.21757,-1.17499,2.04572,0.50519,1.19374,0.23169,0.73222,0.35982,1.25542,-0.08404,-1.81178,0.99307,-2.39169,-0.08296,0.3904,-0.99263,0.75826,-0.29901,-0.49966,0.72832,-0.53837,1.25521,0.26213,-0.6308,-1.67671,-1.44024
VAG_0137,0.74366,-0.06608,-0.66045,-0.13691,1.54313,-0.33008,-0.18048,-0.97923,1.30242,0.8681,0.99671,0.21124,0.83282,0.30862,0.84126,0.17939,-1.15791,1.30312,-1.78862,-0.434,-0.38066,-1.41429,0.54563,-0.53406,-0.46551,0.66583,-0.42628,1.69364,0.11378,-0.50075,-2.05566,-1.3122
VAG_0138,0.75561,-0.16323,-0.23069,-0.14955,1.71212,-0.31607,0.57244,-1.33705,1.28154,0.56703,1.04102,-0.03597,1.07866,0.23516,0.83248,-0.1764,-2.04552,0.6667,-1.78954,-0.26363,-0.57251,-0.77701,0.93353,0.09191,-0.17228,0.59425,-0.33867,1.41614,0.03423,-0.69474,-2.03557,-1.52365
VAG_0139,0.56967,-0.59374,-0.66198,0.0255,1.48831,-0.10127,0.09002,-1.71007,1.45992,0.70119,1.04557,0.08837,1.09779,-0.01854,0.94002,0.07345,-1.31237,0.91677,-1.98751,0.0621,-0.23065,-1.20061,0.19057,-0.35145,-0.92412,0.28598,-0.40324,1.61894,0.40775,-0.78344,-1.64952,-1.64065
VAG_0140,0.61159,0.16579,-0.67615,-0.28851,1.96169,-0.13139,-0.11067,-1.18892,1.4696,0.87408,1.11819,-0.06847,0.86765,0.50031,0.37404,-0.23199,-1.83947,1.41457,-2.02233,0.10151,0.14523,-1.4494,0.53636,-0.05728,0.13765,0.85998,-0.45956,1.75698,0.03403,-0.38763,-2.2401,-1.57002
VAG_0141,1.1534,-0.23379,-0.40199,1.42209,-1.42241,-0.48423,-0.15345,0.64247,-0.92547,-0.90887,-1.23261,1.04095,1.00737,-0.73781,0.43525,-1.36137,0.09489,1.73255,0.62637,2.36737,-0.89293,0.8268,0.39776,0.38817,0.08042,-0.53462,-1.31273,2.96,-0.03975,-2.08444,-0.50695,0.6676
VAG_0142,0.87095,-0.31872,0.05484,1.81941,-1.13519,-0.89106,-0.29965,0.15465,-0.58175,-0.95249,-1.90503,0.93388,0.98357,-0.40936,0.55491,-1.44687,-0.24397,1.36152,0.01919,2.46225,-0.57811,0.36603,0.42518,0.74926,-0.00757,-0.77003,-0.97082,3.22136,-0.41708,-2.56721,-0.93469,1.45763
VAG_0143,0.99532,0.37233,-0.77839,1.32212,-1.39223,-0.79734,-0.44891,0.52751,-1.1386,-0.5864,-1.32755,0.47225,0.55633,-0.15282,-0.07602,-1.4001,-1.03938,1.50142,0.00092,2.46578,-0.80408,0.26859,-0.17002,0.29634,0.17907,-0.23589,-1.02186,3.02517,-0.2782,-1.91438,-0.56156,0.62321
VAG_0144,1.19062,-0.02109,-0.23441,1.69425,-1.29499,-0.72868,-0.05582,0.33084,-0.95514,-0.78377,-1.5438,0.88701,0.6948,-0.47167,0.07987,-1.19554,-0.90913,1.84859,0.20519,2.24453,-1.07295,0.84739,-0.10668,0.38034,0.14863,-0.32575,-0.41709,3.1981,-0.23114,-1.76758,-0.61395,0.85797
VAG_0145,0.68698,0.26839,-0.53126,1.63153,-1.53545,-0.232,-0.69161,0.86645,-0.30256,-0.27958,-1.76851,0.78782,1.25114,-0.41691,0.31566,-1.45942,-0.54318,1.41955,-0.12361,2.26179,-0.96476,0.61793,-0.66914,0.74715,0.51712,-0.1645,-0.73145,2.90037,0.17585,-2.21103,-0.50282,1.0896
VAG_0146,0.62337,-0.28442,-0.00399,1.74639,-1.16531,-1.05496,-0.70973,0.52315,-0.55569,-0.5494,-1.65981,0.95577,0.7794,-0.24323,0.0954,-1.77009,0.02903,1.23089,0.28185,2.45884,-0.80122,0.4321,-0.52305,0.71712,-0.1212,-0.44543,-0.71343,3.19388,-0.25835,-2.23681,-0.65691,0.84554
VAG_0147,0.96043,-0.2013,-0.2173,1.87239,-1.00028,-1.01853,-0.31428,0.22172,-0.50822,-0.9386,-1.44823,1.14385,0.22819,-0.27155,0.60825,-1.57021,-0.27983,1.44723,0.53149,2.38776,-1.10094,0.49137,-0.06453,0.40731,-0.00713,-0.74879,-0.75731,2.85322,-0.26772,-2.1729,-0.67183,1.14035
VAG_0148,1.12658,-0.43356,-0.14925,2.03253,-1.42063,-0.18428,-0.59481,0.51252,-0.99159,-0.80788,-1.57416,0.8819,0.60232,-0.08828,0.16363,-0.97754,-0.30776,1.62463,0.46796,2.50257,-0.46813,0.69407,0.09335,0.67743,-0.43719,-0.40768,-0.71716,2.82839,-0.26953,-1.97626,-0.36832,0.30374
VAG_0149,1.32691,0.06075,-0.28401,1.26503,-1.5054,-0.46708,-0.58186,0.93596,-0.48229,-0.71301,-1.58623,0.47234,0.89004,-0.58067,0.49963,-1.93842,-0.48446,1.15177,0.77237,2.40869,-1.39974,0.51339,-0.0988,0.53536,0.05188,-0.45931,-1.05417,2.76566,0.10457,-1.53797,-0.63482,0.6401
VAG_0150,0.64794,0.1007,-1.09586,1.92798,-1.50715,-0.3551,-0.50242,0.64172,-0.51976,-0.8175,-1.95433,0.96719,0.69563,0.08847,0.03921,-1.36022,-0.71429,1.55906,0.54215,2.18657,-1.1709,0.34227,-0.76093,1.27649,0.09704,-0.37564,-1.36952,3.27192,-0.0161,-2.16266,-0.3224,0.62808
